Job_titles,Hiring_companies,Locations,Job_types,Job_links
Aluminium Cladding Senior Expert,MIDROC Investment Group,"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4198004374/?eBP=CwEAAAGV-8MwtMRLFu6PNjL8fTeWNz3EMgKFUhTfgZDQxDFYGi4e_zJjYl3XTkrx6PRYVjEwUgeTXTjjnq7HcHiNAeXD1xHqjjegRzr_CdYzIIDUvILR8X-Be2fw6Z4_A8VGQVKTHDul6Xy_b-hjg3K5lTRRawcC2cdRD7ychkYmGqPPiFQIR9Gtl9ROPCeDn1sZtWNyUCfMUnOv0uPtXAav9FDULjo4iYenyIgUprPajNulRrup15XthTPsd-g1cOIgHn1MSQ-lHJL1wu1I6ewuV_HD_YrXgkf-VDYMw3BsLQ1ADniFU0PYNgNqjXhsw2yfRxi-kIeDEI13T0M2s0jAAUMv-TMrBt_qQPq38MQY2RgUUC_22qdu4YK5tOECts-Gd-rUTgOmUvHpHi9dLnSDypsTm2E-DO0VWKVAWGbT0XyNRlFSF9ZWptamoTEszmdr3oKo2DRRU_s8r4WkYm0pcrvKcK57jKCdd9LpHzm0ZPdi76daHI4ScIXVbzkRyg&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=RXZBUbLaoxwT%2FwvCkyArVw%3D%3D&trk=flagship3_search_srp_jobs
Field Coordinator,Orbis International,Ethiopia,On-site,https://www.linkedin.com/jobs/view/4194879086/?eBP=CwEAAAGV-8MwtBw4FGXa_lg3DGwwDqNdlXYJVV6tSOBwFyoN-64d_uVbgaQXjWhUuSEntCRfL4YuforvwsAPyrmOqa5vo0pQEUqZekqnWosX7gP67z4vJES_15Wa3LosYEdMzLQOBbJGCjD716GVL24dFur6xLo0SnhqonLqt1hPTP7dEiZvME4ySReVSrrzRFTYqX2KtePkaq11dUBe80k_d50qhvEmwa2HvYZQxBzK6QAY7RAcxSeA4K-VKBJ8ORIa_ekw65ywlepDp6O9O6E2Y1ka3PX_bN8sTaT1t7NWJHWAdANS3CoVYIFNL1a7VKxVe_SHKtSMd_jokKylHzNTykPB3GUNEQoVT8Sew8YRZ7mncZLI5IalFUBwN68vl1-0okcgo0oz3to8SXMK6J_W1aUjoYoXEqQ9gHT5cOocw1RGze1beqqnD8mVg2Cl-g-KpE3967J13Oxt5L5OCazcN0UpuapCi5XnOw&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=MBY6DCZkvM74Mp2zj9kWBg%3D%3D&trk=flagship3_search_srp_jobs
"Senior Software Developer, Trading Technology (Query Stack)",BitMEX,EMEA,Remote,https://www.linkedin.com/jobs/view/4193721674/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=aZj9F9oWM3DyO7Y18hgG8w%3D%3D&trk=flagship3_search_srp_jobs
Coders - AI Training [Remote],Braintrust,EMEA,Remote,https://www.linkedin.com/jobs/view/4195722292/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=Kz39n63GhteT%2BNuytu7hXQ%3D%3D&trk=flagship3_search_srp_jobs
Cash Service Attendant-for Benishangul Branch,Dashen Bank,Ethiopia,On-site,https://www.linkedin.com/jobs/view/4197888137/?eBP=CwEAAAGV-8vmMaYllEJjSQ7FZYOSr-ukob8z9pkr7evhRBx5HoZw8LCFquDCB37anJYRZoAf5zvFvXVUih7H1FgpPxrMtvaLfqYq4Gkb5Njk-Q7mDNr75HC3RQntIC-IGH-HT2SlX5SKqTlBczExAP6V4LruSUxqlBFp_Rj7ngv9X_ydZKd-QZgI0ZHi3zIpXGmM4ja-BTxiXnxONioOU8MJ1Fn0dNaennN-iCD3uguiyDEPpa-6aIbAxWze8JEAmk1Em6uokzZuL2HFczKT3IuTfgzItPcp1HUe9utCCPN7avM0OARVi9rjt2Qgto9g9SW-BuuZAiyRAO8rUJjDQdV2oAusBtlBDixtcVRLF6tWg_JIc28Ss91wzHxZUEtFwYbI2rvGnLXAox6PX2pkhY0o6EmWV3-MWUXBuCfbFVCoR0zgbpgCLqe44BtB6yXN1c94VhPIhFwH8-37Vw&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=83IwESivy3e702YpdkOF%2BQ%3D%3D&trk=flagship3_search_srp_jobs
Senior District Agency & Digital Sales Officer-for Nekemte District,Dashen Bank,Ethiopia,On-site,https://www.linkedin.com/jobs/view/4197881819/?eBP=CwEAAAGV-8vmMm8k4Y1lS-wlcE4E74cYUmOcluE5g4orcGJzywW7AqDCXvaYHbxf8RsYCFs1BCiDu4Tc36YMNqnxPzAVRNihfHnnARf33wYKWERiqGuABNdtgGEVCsVxL8GXFJwIB5pIHhB6YTE7Bt4W5p03YBHScnrWKhnWfbODZ5Q1yIZ1ul53SWl-rYBxIE2jQjqb5_zXYPAf6kJyLyvkJNo8XLnavs-XP87QMbkbvqYeFAXrzZaktX8N1bP2AD-7PTSko3bYHT2Nif2Zctf3hFZdodXo049VYfGC_6Y6I7iF_6CFthTd-iiCDW98II-f4UARfrdHCtcXDgK295aNViUw37kLmBVx2gVKKoQupeaWpmVgBr2vOi2rA4l4maeMObGZdhfsP6oxPZoZuDyuYYqeniwIjiCXVvKZpt2t8ZPxz2Tz22L-36-3CxjVG6-5yq_t-MQoEvZ1d-jXeNI&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=dEMQNqVYCEhjwD8QIaIATA%3D%3D&trk=flagship3_search_srp_jobs
Software Engineer - Javascript,micro1,EMEA,Remote,https://www.linkedin.com/jobs/view/4197069641/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=qx%2FZ6qoOKR3Av0358LQKKg%3D%3D&trk=flagship3_search_srp_jobs
Smart Contract and Backend Developer,Braintrust,EMEA,Remote,https://www.linkedin.com/jobs/view/4184506393/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=aHvyo%2Fu5Owuz0GNlaDkU2w%3D%3D&trk=flagship3_search_srp_jobs
Smart Contract and Backend Developer,Braintrust,Sub-Saharan Africa,Remote,https://www.linkedin.com/jobs/view/4184505667/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=Hipx3arr%2FYCZ7SffgOQ1dg%3D%3D&trk=flagship3_search_srp_jobs
Full Stack Developer (Remote),Braintrust,Sub-Saharan Africa,Remote,https://www.linkedin.com/jobs/view/4183446017/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=gwnY%2F1msxhGKeP4%2BqPvwyQ%3D%3D&trk=flagship3_search_srp_jobs
Full Stack Developer (Remote),Braintrust,EMEA,Remote,https://www.linkedin.com/jobs/view/4183440515/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=1rUvT9gMYD9cm78ZGheL%2Bw%3D%3D&trk=flagship3_search_srp_jobs
C Developer,micro1,EMEA,Remote,https://www.linkedin.com/jobs/view/4196817185/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=xO0vSGM3tF2NovmWYgusSA%3D%3D&trk=flagship3_search_srp_jobs
Developer Relations Engineer,Canonical,EMEA,Remote,https://www.linkedin.com/jobs/view/3737844256/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=1ogmhdTB4syLfw7237DWDA%3D%3D&trk=flagship3_search_srp_jobs
Commis Chef - DT Addis Ababa,Hilton,"Addis Ababa, Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4094964046/?eBP=CwEAAAGV-8vmMmdknQEnWK1wtXIIQrBHYm6STDcJdjA1Sa0TMLg55O0WhylXS7Q4paWy8cbt-M-PAs-iqCykIUXYcffoGfSQ3m5t9IHWB9045szyKWvnkw43iftrSQ5k_ISgeVAEH4GnD8zAx9C-U5GTvvwopuK0ibsw-UjTsVAnWuBCesJItIX4aqvbpQ1x5ov11X0XNgwpSwLc8MTsVk3E81Wjdx3LsQUOeQTUq_1c3t7gwL8Muawa0Vt-x_md1mtbRL05Lq37BSJrruyaRk-AuEwImpISR0LaHbLIb3kKwKUih-2_yzZikQqQn5JST7zFkhDu5z9KdeqsnPaMilEbShqQTc0nrbwbrUxj9lR2DqbAA2-XlszwsYUNTnygrSy2vv2TydNSGttbHmFIepPKXSgdwoqCo7WD93PfRjNbAaHlzLdma6zzxj-ju7u_zHFT6hXdvpdXnWAvVvLULxyCJTkAfT-ogflGDgqPV58fVontmox_rSCNlefcW93Q80zUjbQrLjh1Qg&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=%2BBhhazK%2FgjgTDudssXQ2gA%3D%3D&trk=flagship3_search_srp_jobs
Developer Relations Engineer,Canonical,EMEA,Remote,https://www.linkedin.com/jobs/view/3665789876/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=UD4mkCMzWcd9mHaCf7djDg%3D%3D&trk=flagship3_search_srp_jobs
Mobile Application Developer,micro1,EMEA,Remote,https://www.linkedin.com/jobs/view/4197075615/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=KIz7r%2Fgky7s0u1OrIjEIxA%3D%3D&trk=flagship3_search_srp_jobs
Security Officer - DT Addis Ababa,Hilton,"Addis Ababa, Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4094961338/?eBP=CwEAAAGV-8vmMvhlBUQlPsjDDY4TV9rvK3gtAySPT4bS8OAT_6r_pTLL9XXWFUDTrLVddCYzXKeSDtLM3A0fKxpcjU9oxKEBIvqMi2THq4q7SLuzaGyO1klWfHl9lPWYfIkYP8AoAKIbTxByACl7B6goBMzUFcQ8vPmEk-Ch75AJwIQiM0NCeUnpSGVGoweDsJWdetW4z-b1CxZujJSlzcbkGW43cc7FjDf9CxWJvkcucaw7gduRTOvR9ogWPOCNaHHQyXJRcuqMBM5BDHWt-n4qdxjph72NwojrfS-CnvA5PUmOM7r376MiwyHzI3AftaGQU9NKbEtGCA2fWEn1__3qJblS2Ibl-IfNoSk3PhqoXGVe3AaQvQm1PTbHbGZBrmn353wxRPT_cgrwoOh4gx7tSecFlDSpDUTLMRTh52G6xpo1vHGKW62FMdFk7N_ZPfWf22fN4cEjBSGWoLWDntF05HNawS5ZGyDNWqW0IamNMZsU0rVNJLkpoAuxPVgnyBAVAk6EeIXUJeIF&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=un1ZbgS5SrH5JIfYPAlVZg%3D%3D&trk=flagship3_search_srp_jobs
Driver - DT Addis Ababa,Hilton,"Addis Ababa, Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4094732173/?eBP=CwEAAAGV-8vmMsm-bOdkDpP4NgQyZVuwL7PkGoCmvyPbfmR9SYi9y-A5MWRWZDN40Dz30pvOC7mT6Wut2LOHH4cZqu6O6ViBQR6IpKrwpKKqbLu0OGn1eWIvTGwFLrQlLccHRZZQEN-16DKMLGWo1pLz_k4qRmbNEyIKZpJCTZO9D_UMmWIi1hHfXQbulKS2mZkN-WMJXTj_iUGURlUqUdc9RYzJGgoMZqf8660-CWw3KimV7GwBY_74lOBKBbLsiwQobAJNVxDa0FuzlVxBThgA6Y61OhQwhvXJchXrbGI-wv4sA-HiJL988aRWqEmKuBD2yaFC2GwAtZo-rPIPbdhpSQD4_1zQXfsDsOi5MpVuXYJ0-ooJIoFXClDG5hy8ix1ztGrmtDeprFEwrzVSaBTrNSIGwPHr_YMJTmLyGuU2qa0F7PKzAwjJu_NTxsYK3P2rIbsb60CSJzv-1Mo6RnJFvHWQBlqZVVlVq6HKHmUTo-PeyVN6AlYe0UQGqLHptpbg8NO3u29EAA&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=kvdTFgdeZ0Z6C54%2B7A6Lgg%3D%3D&trk=flagship3_search_srp_jobs
Frontend Developer,HiCareer,EMEA,Remote,https://www.linkedin.com/jobs/view/4196123563/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=kD5cb6DPqr32pPt9xF42qw%3D%3D&trk=flagship3_search_srp_jobs
"Golang Software Engineer, Commercial Systems",Canonical,EMEA,Remote,https://www.linkedin.com/jobs/view/3748409583/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=Vz0Xse9p2fknVHIAsCf1IQ%3D%3D&trk=flagship3_search_srp_jobs
QEHS Assistant Intern,Sika,"Addis Ababa, Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4192115713/?eBP=CwEAAAGV-8vmMs1TESQdLCJ8SpNk90ygeQGwvNtOYIm7UHJvLKr_LOr-gSfGDC4xMA5fVYqThJIjtSJGzN8_OIhOoNWYBmb0ma3Vta2BLFw6ccIJutzM8gw0lT9LpaxirrTaOTEQ4Ejmj7mYkRGYZmIG5OerCYzJDEhyJFWoy8Enh81rHGrEHgBTjEkt7kzFP4aEzZqk59h9p81nK5X1eRknoVh8eCeDo2odscw1uRInBOpyhLcMxL2gWD6yBEEKZfOH7ckx7u7Ww1UK0u7HgdKWJeMjsdNkGnwdPcHd2I043s2G3_EzIBLGZeC6voGOWDKbNXURLv6dUJ7s9RBdV_JhJORMbm4ysUvgHBZLbEQj0vPeF2iKFDoVHdGpbe0vVC1lq-JKamC2DPhBMjM3tHvj3b1pET--VdoXfH7ohsogYAnB2dIXBmI4CyN4NfiN8afC8bVCpXBuKa2SCH077VHnViHA3MZJQ20lIV9G&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=uiIQtfEjZBlKachJNaWt7w%3D%3D&trk=flagship3_search_srp_jobs
Consortium Director (MYRP II),Save the Children International,Ethiopia,On-site,https://www.linkedin.com/jobs/view/4197821453/?eBP=CwEAAAGV-8vmMjZ-ilpSqKP5vfxU2P_qgxh18Idcd5ePW_oBPcUdBV28T_ZFziepw4VJ6LzOH77n6cCaZL7nH3vsO_XdH7lNILtXG0xOb71Phsyk9oKqanRijkMaeNKUDILQRfsHaPnD3Yp2EP99zo-rpQwnvm5OtqldrAnUt9Cl8N29ROlVAnhLcPhd_kn-CJnWfy9cg7DhdI6LaBNEDJzFypyN3RWpdexbOkQj8AP5F4-bCJDMPmMcL7RBKSK1Wjdw3_fVcjiwxC2KdqtsEclHbXM7uMdWFiQ5bXyFa7uifiOaz0Ms7j8VqLsEgX4LEdS5AM3G1MMX9BSyi37qKqkit4wOPsM9V8OVZ1I2Wgs6wEe1nz9ef4C2If33rucmgrT2tnxrdW5QVBDnzniozDRc8o-q-cL-mVRo1Bgl0ZbPN6Qp4VZsK5ZlZ9mQXlLYyt2WAsGMDAf9SWNPp0d_DOgbzu-YXrQ8cEP1LMgqaYe9oY5LAi0k6kh5k5mHI2Okz1M9As_LxHMAN7mdxS0&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=9bewfl4DHlTbczNxffSLuQ%3D%3D&trk=flagship3_search_srp_jobs
Consortium Director (MYRP II),Save the Children International,Ethiopia,On-site,https://www.linkedin.com/jobs/view/4197815936/?eBP=CwEAAAGV-8vmMhpJSVmDCpUQxb39QmZHPLG1wMSqx4bS9ck6lBDN27lp4bvR4ol1GU9Z50YtmsJrFtgtq0BSqZG5TZwiXDlHAXF0SAzgoZzY9anczum2geiglEkX-ITpxO5jhtoIRY3gCoppo6pL6B9GmTGIISyIQB1sL2o6t3xzKnuDPVDMA-gdKEFxdTQ0pxHZ3CGgBsHzDfPGzdg_gr3-HLKnZwhCEQvjE5dDAnlRHaMqrtXYUxFNnTpCaW3QwX5t1BapHJ4k1hdFA04riPDBaluJs5M4xH-eJNWjLvLjngsE4hPt-mTabk6Tv4rosxY0Eg4L6CMMAEhw0Um8KpmPWAZ_zGrBfOqmtwx9i4kE5SV0SIIOIQbDdCDT3wCJcgfdfAZER9u2pLZBgNtz7Uq_1AosdGvhEGrvCi0VtzLdB7q_VEDyCO1bHmRuLUKjw7u6D9iUwl-Xyr23TLqdMSYO6pdE2BUVhPHUJd0cUcAtkvWdrsNIm4us0b1K3PcMf1_-RYVwcP3St6BI&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=cIX%2Bgp8o86WRBsCXTm%2BVWQ%3D%3D&trk=flagship3_search_srp_jobs
Key Account Manager,Roche,"Addis Ababa, Addis Ababa, Ethiopia",N/A,https://www.linkedin.com/jobs/view/4198016078/?eBP=CwEAAAGV-8vmMtJCiQCVxiFSRWYVfWTZKiLS_2v_cxKdusKB9l7sX1x9w2ZSEvMwTZYM0hLMCa6CnvfwcFtm-5InLewvNgkvCtImpFSKdMJfFgLZatn5l0sUwjoPR9fCisdKjAPRSDRtLlSlUmiMmv9oRLL6Qk9UKXqTny1Xhh7kHmpk3MdUbP8qAwyhhiJJglOWid-Vmpag4zkQ7FJgksCkqwAzWRDroHf59oinTdxxaVB2jTbpfR41zQ_RiKclDpJXXfQwAVbWNyQUWs_nU99c-w61AkyTl_5oF9nD8nFsC5x_rtLcZiKUl32Mkrf22Wg4FBwFA2xt7FBEv7yHTVkpWNzCPK6j0OWUvS4v-VQOR3BIbfGa_O06xm0n1NjrSlkJXE8Ge8doeBb_iN1c5CR6ls9dLl40pH1aa6_RBsNmC3vUNRWWlXYXON_s5Wm0uO3jfbFCF7JL75Z1pi-vm7SHFo1_TK5QJPNgk7fn1fvQUPUwL6IF5fBrhLIV-p4h4pjfhwbY4D7qp77d8gBXdA&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=3L84Y58xFjUG7Jo6%2B5U96g%3D%3D&trk=flagship3_search_srp_jobs
Key Account Manager,Roche,"Addis Ababa, Addis Ababa, Ethiopia",N/A,https://www.linkedin.com/jobs/view/4198012752/?eBP=CwEAAAGV-8vmMhO3OLCg5csTeZokCnJoiVM2r85jM-K_CbKBWa6B4n_YzSlkkPfswXXA4FGud3w78xs_6YQ1KKQALaLCdknBj8YGoRHRjA-wpywuwQCr7L9Atow6-kF2pZR9l8yc4Q97sA8EJv4qY30pWp_4uVIJR1TyZEWmfX08cODCuwoIhuiWrwV57hcBP9Q_bgyTzZcZ4lQ21KmdLH0tSt07UUKgzxZTWHGt5A6b3teIy3CMB0XFFP1idVtJD6GWsADaz_bZbM-flThG0YKX5Zwl9XtfFlqHkDSZ69aQ6-Rhrev3sEONtTzjedUDSn54X4RZoMHfd2d5e7zOUpinrpoLygG7vG_W5Wrpt5XWQzShRVvWnZX_qKQNfHI3O0I1GIsi_HNEeXV4vYUlYczoy_uMbZmPuqL0oNZF2whFWBATBHYUfV-KwiWP0X-8EQZmUX8TF_feBSuyKaMXDLuTSH2ImNMKR32W3Iw9GQz7Lmi8u4ghqFttfU7kFH8avpr4rY9S-a4GNNJGGVceXg&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=FhG9De9B%2B3t03YX9bA37wA%3D%3D&trk=flagship3_search_srp_jobs
Staff Solidity Engineer - MetaMask (Delegation),Consensys,EMEA,Remote,https://www.linkedin.com/jobs/view/4128419786/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=FBSI31HPy5Mmusccy2lU4g%3D%3D&trk=flagship3_search_srp_jobs
DevSecOps Engineer,Cyberr®,EMEA,Remote,https://www.linkedin.com/jobs/view/4197330382/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=jDrxCLPFpy8A2EBfsuGQ1w%3D%3D&trk=flagship3_search_srp_jobs
Senior React Developer,Moonrail Limited,EMEA,Remote,https://www.linkedin.com/jobs/view/4194903682/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=vVihpWLa1jEMIVlzUYZ6BQ%3D%3D&trk=flagship3_search_srp_jobs
ETTA Solutions PLC,ETTA Solutions PLC,"Bole Lemi Industrial Park, Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4194394991&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nhXxoFTJzfVl6%2FBQKi8%2B5g%3D%3D&trackingId=DQ4HveJXWMvGQvezWJ6gXg%3D%3D
ACK3,ACK3,Ethiopia,On-site,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4118393332&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2BdwTxGtDetlfYblAOLQxlA%3D%3D&trackingId=XZYHe9pDNPesLCk3IYLAQw%3D%3D
Euro Exim Bank,Euro Exim Bank,Ethiopia,Remote,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4193621467&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2BdwTxGtDetlfYblAOLQxlA%3D%3D&trackingId=HRFeW78H5T962OJgzk7oaw%3D%3D
Scalence L.L.C.,Scalence L.L.C.,"In, Tandjilé, Chad",Remote,https://www.linkedin.com/jobs/search/?currentJobId=4182129109&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r604800&f_WT=2&geoId=103537801&keywords=developer&origin=JOBS_HOME_REMOTE_JOBS&refId=WFOBszBsm0mME6BewJS7Ng%3D%3D&refresh=true&start=50&trackingId=a6yzYYXMqset06c8QbKZyQ%3D%3D
Remote Recruitment,Remote Recruitment,South Africa,Remote,https://www.linkedin.com/jobs/search/?currentJobId=4200104786&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r604800&f_WT=2&geoId=103537801&keywords=developer&origin=JOBS_HOME_REMOTE_JOBS&refId=WFOBszBsm0mME6BewJS7Ng%3D%3D&refresh=true&start=50&trackingId=0vl8UlRmf1Qpag7yGEA%2FxQ%3D%3D
Datavio.ai,Datavio.ai,South Africa,Remote,https://www.linkedin.com/jobs/search/?currentJobId=4157821361&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r604800&f_WT=2&geoId=103537801&keywords=developer&origin=JOBS_HOME_REMOTE_JOBS&refId=WFOBszBsm0mME6BewJS7Ng%3D%3D&refresh=true&start=50&trackingId=7VXakIVydZ5L2mSphkqz4w%3D%3D
Happy Dog Ethiopia,Happy Dog Ethiopia,"Addis Ababa, Ethiopia",Hybrid,https://www.linkedin.com/jobs/search/?currentJobId=4199833843&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r604800&f_WT=3&geoId=100212432&keywords=developer&origin=JOBS_HOME_HYBRID_JOBS&refId=piiEzE05dqheJA3%2Fu3KfiA%3D%3D&refresh=true&start=50&trackingId=iHPsMrMPSB9MJoy93VAVGA%3D%3D
Riftronix Software and Technology,Riftronix Software and Technology,"Addis Ababa, Ethiopia",Hybrid,https://www.linkedin.com/jobs/search/?currentJobId=4199965656&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r604800&f_WT=3&geoId=100212432&keywords=developer&origin=JOBS_HOME_HYBRID_JOBS&refId=piiEzE05dqheJA3%2Fu3KfiA%3D%3D&refresh=true&start=50&trackingId=sISSMtJSy58tEHmVRML9ZQ%3D%3D
Melkabello Woreda Health office,Melkabello Woreda Health office,"Harar, Harar, Ethiopia",Hybrid,https://www.linkedin.com/jobs/search/?currentJobId=4199868669&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r604800&f_WT=3&geoId=100212432&keywords=developer&origin=JOBS_HOME_HYBRID_JOBS&refId=Z2SEmRtLtU9Hxv9mlmj7tg%3D%3D&refresh=true&start=50&trackingId=Hr34S0Gvurs4rJY7izNEGA%3D%3D
